Name,Vol USD,Traders,Sale Count
OpenSea,"91,020,120","148,810","418,360"
Blur,"86,190,176","21,748","76,089"
Blur Aggregato...,"18,972,358","40,900","91,226"
X2Y2,"18,484,667","15,450","30,954"
LooksRare,"6,980,060","2,389","3,534"
CryptoPunks,"5,217,424",70,52
Gem,"3,631,557","21,735","35,220"
Uniswap Aggreg...,"647,684","1,900","2,286"
SudoSwap,"605,180",586,"1,625"
Foundation,"587,819",880,"1,291"
Element Aggreg...,"322,473","1,115","1,085"
OKX Aggregator,"153,966",528,478
Element,"114,649",451,413
Rarible,"70,520",174,121
Decentraland,"46,706",19,12
NFTX,"44,561",113,163
0x,"31,341",160,144
Rarible Aggreg...,"30,673",152,175
Superrare,"11,962",3,2
Zora,"4,936",8,8
Sandbox,"4,909",64,79
MagicEden Aggr...,"3,727",20,28
CryptoKitties,"1,701",26,64
Known Origin,"1,146",3,3
