Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
The Memes by 6529,567Ξ,527,0.36Ξ,-3.44%,15%,165,0.10%,0.00%
MutantApeYachtClub,547Ξ,32,15.99Ξ,-1.37%,63%,3,4.10%,-0.07%
BoredApeKennelClub,287Ξ,33,8.5Ξ,-4.50%,58%,14,4.40%,-0.05%
BoredApeYachtClub,285Ξ,4,73Ξ,-0.93%,61%,9,4.20%,-0.06%
Milady,201Ξ,117,1.98Ξ,61.10%,31%,12,3.80%,-0.38%
Mutant Hounds,137Ξ,131,0.74Ξ,-1.95%,37%,7,24.40%,0.06%
PudgyPenguins,112Ξ,18,5.69Ξ,2.10%,50%,6,6.80%,0.23%
Otherdeed,81Ξ,38,1.3Ξ,-6.65%,33%,-14,3.20%,0.02%
Kanpai Pandas,80Ξ,39,1.74Ξ,3.67%,26%,11,8.70%,0.12%
Azuki,63Ξ,4,15.3Ξ,1.62%,50%,-4,6.50%,-0.04%
Chromie Squiggle b...,62Ξ,4,14.99Ξ,-8.60%,28%,1,1.80%,-0.05%
Meebits,55Ξ,16,3.45Ξ,5.18%,32%,3,2.80%,-0.07%
Captainz,54Ξ,11,5.08Ξ,-3.41%,57%,-33,3.40%,-0.06%
Opepen Edition,54Ξ,"1,142",0.06Ξ,22.68%,41%,-213,5.70%,-1.11%
Mutant Hound Colla...,51Ξ,38,1.33Ξ,-11.21%,41%,-19,7.60%,0.54%
CloneX,50Ξ,8,5.59Ξ,-1.19%,50%,-2,6.60%,-0.04%
BEANZ Official,48Ξ,18,1.65Ξ,4.68%,36%,9,4.50%,-0.06%
Valhalla,45Ξ,47,0.97Ξ,-1.92%,36%,6,12.60%,-0.49%
Moonbirds,43Ξ,5,8.4Ξ,1.81%,65%,-2,0.80%,-0.07%
Savage Nation,41Ξ,300,0.1Ξ,47.14%,24%,-36,19.80%,-0.31%
mfer,40Ξ,11,1.45Ξ,-2.05%,55%,3,4.80%,0.07%
Doodles,38Ξ,5,7.9Ξ,-1.24%,54%*,-4*,4.70%,0.06%
RarePass,34Ξ,1,35.42Ξ,-6.79%,87%,0,3.60%,1.60%
Potatoz,34Ξ,12,2.09Ξ,-0.48%,39%,-148,1.40%,0.13%
LilPudgys,32Ξ,59,0.51Ξ,2.72%,33%,-4,6%,-0.08%
Kubz,30Ξ,22,1.29Ξ,0.75%,43%,-9,1.70%,0.14%
Wonky Stonks,29Ξ,92,0.38Ξ,65.21%,48%,-37,5.80%,-0.78%
Sappy Seals,26Ξ,19,1.26Ξ,-2.47%,21%*,-1*,3.20%,-0.06%
Cool Cats,24Ξ,11,2.35Ξ,-0.13%,55%,6,5.10%,-0.04%
Invisible Friends,22Ξ,9,2.44Ξ,-0.29%,77%,-1,7.40%,-0.06%
KILLABEARS,22Ξ,6,4.06Ξ,-3.12%,24%,24,8.50%,0.36%
Akutars,20Ξ,50,0.39Ξ,12.95%,33%,-17,2.70%,-0.06%
Wolf Game,20Ξ,25,0.79Ξ,5.95%,21%,0,3.20%,-0.01%
BasedHeads,20Ξ,127,0.16Ξ,-3.07%,28%,-54,8.60%,0.81%
